dna,smol
3936.2773683810715,1103.7133720153668
1555.6507229682884,1440.629126221424
4562.836878035865,774.9324671233369
4717.517115060882,939.5301947716923
1952.5226357333338,456.1425523832191
718.3917578285248,935.2877874740547
2914.76553856048,682.8187737374144
1082.1810476981755,2337.3249842666214
3170.2336106388625,2196.9176925680954
2250.7747798102237,956.8690121886151
910.8210238886761,682.8080653434624
2229.6263895010584,843.907730324432
1319.5543681594831,1603.7403262717535
2486.580088693323,2877.9625746173842
1671.2378532898801,1489.0196611384506
3456.6467682702832,1303.4343884023292
1065.9664397673628,1767.6576875040048
776.7365006511582,8037.675983050955
5711.699166036364,11292.969236062
4424.900634830848,7708.634617435409
1887.8439834428143,6400.355847150027
1318.1303168776512,9154.783011806185
2159.0504705110834,7640.437381926255
6976.6638680806755,7867.299489796181
4758.434764442966,4404.9562163257215
8071.342543157402,6793.103442932068
5292.028074788377,10576.421723993832
8304.451039326575,6037.16626488045
7668.579550604485,7995.43967704562
3964.3632943723774,6714.125720149528
6601.850798757175,7688.0894450165115
6003.116103546686,5911.645895481258
4014.9507841065047,8278.980117076837
5276.235637212945,7491.519013679118
4286.246962560778,7823.110811434244
3498.3715338934544,5082.620405498986
1394.3147448548768,4896.1337326168195
4835.395644680115,6784.298656427959
3617.001984862949,7196.511552083117
5786.352997453691,8021.690907086565
5840.7845919985075,7036.299404521719
6309.258407306461,7258.758352201018
9740.979059439482,6294.619080020384
1314.4210891300818,9412.18921138973
8469.581736761837,5246.553293171835
5305.450919261396,8625.74081330021
11862.555883695502,7261.495344034755
12113.80691158288,8893.334553914628
11942.786612976159,7116.580240394563
5238.794602547956,8055.673862367058
10199.265339411335,9137.485670254278
4564.437920103957,7872.311718198106
8629.40043106255,7274.513798479041
4382.752012937195,9537.987989777472
7952.826825890001,10741.949914497347
8131.861053562625,8177.933097749857
9271.873341440407,9816.481623054056
7263.234696643179,5884.781633272615
10942.853949032275,8928.284373684328
7117.858407169777,7369.734731770941
7598.721612321452,9196.004136582882
11541.43361279414,5727.135891946894
8713.943990316657,7796.608181364901
11271.73984711109,8689.635880659238
8312.793457253221,5032.798102824176
7590.897864401949,3120.1731812640983
4924.529795307422,4414.571670060412
11813.261749204103,3772.769324356931
5234.118256597711,4518.874670332473
8609.935354181058,5674.212186485565
11302.760895200881,3936.248415927502
9947.613929566325,6879.122828693406
9540.14861535888,4199.0991504025515
11255.95290727058,3332.846113018467
8417.650002856386,3336.4760398998133
13162.468986159283,4756.984734281008
5497.643682448632,4661.699564457705
6808.949362098215,1256.4704458728672
11070.191216288402,2000.6531113054855
8749.800160337747,1440.1107046155546
12917.9309785937,4018.126778869148
13306.446505505006,4837.853855178349
10555.234052884109,4288.046004937788
3537.886642594818,4161.767665964361
8286.525966174122,3148.4755110498127
9271.24930084555,4524.634318525904
10582.735235325858,5736.176513053111
11251.796282996907,3460.7645249256498
2256.509281294051,5817.708895312801
