dna,smol
3593.8620616539124,2709.748200015514
3421.193510843368,3390.706993220448
3030.394704096745,2559.5857125347948
2660.447017814943,1590.0346826324228
932.7194781500804,3334.8823726436212
2319.0592330512336,3544.008276953201
1839.5407966491211,3119.8905265251988
1417.6798128294538,2066.74822821219
2603.5112949794125,1834.6317221977156
3266.4851725971944,2028.0145608032822
2589.869362025744,1308.6440727742115
2536.3141055032365,1560.0638045995988
3542.7855588655184,2877.3608801493574
1442.182459256617,1958.7133083818667
2460.15813354859,1937.6469515871486
3807.1568589068884,2129.2508492582338
4168.742924787953,1615.5659425062124
2492.7677762926123,2199.4131387803814
2219.037982969443,1736.1554492707364
2622.9175287829034,2681.635398288074
947.1433115281084,2441.6936169635756
1727.9886459591432,2997.337851436098
1449.779770623345,1790.440273303833
1964.8286352903212,2171.692653089781
770.5218808125078,2654.141722367428
1149.0561992350388,1281.4047267701992
370.7721840665991,3208.77708837863
2944.7096524582207,1834.1891694746787
562.1407340745545,2081.8928339426957
966.8262604546849,2674.4960771707397
2712.7081613739824,1951.8501855423065
290.34188055755106,2576.5898312492236
1805.5425459725643,1607.2314229653875
954.0218511737785,1634.6471172939569
1295.2163535456689,2307.5147413702634
3572.262708899827,1744.7278509783694
1420.4747353535251,2966.2814359869312
3911.961557938973,3736.8027628167333
3317.8936155546903,11483.250669387515
486.12131322761314,6650.936910517556
1013.401378132723,9871.171961870574
1515.016281386797,4534.9741890365385
2221.6692770787945,13363.72313171865
3926.757917083561,9015.530484160687
1201.4180329735163,12183.538751724873
3131.6211015764798,7036.015830383885
4451.5831564554455,4450.517725892625
3296.1594944640738,11027.374964809862
2927.2122544013146,11848.476066356709
3908.05298628227,7453.219876869184
4965.106860091255,10708.84691417359
5174.012347296375,11857.462607579744
5983.691894147773,9320.29859153195
7161.0350309768455,10400.169694590331
6558.538601238592,12969.374835946208
2208.756858339162,6218.63249010076
2048.9776822387107,12523.202905354578
5149.431554017712,9965.815050207217
7769.314012561518,9710.461677206189
4986.332489979899,11273.47692430529
6730.920889027795,13450.792986103965
3940.967581950471,7332.253527752468
2140.298869182631,9133.714058653657
2830.936536929054,6075.73620943357
7472.66411811054,5245.4797305079155
5414.191724222429,4593.381373147756
8252.692988563542,5534.025671576358
4471.442502457488,5618.25430474781
3062.210895935961,4100.393747232442
1227.0705803054864,2575.1703082967174
2006.5576396968431,2043.7642384496373
5559.629568886349,6171.519546552148
7316.589549305528,3457.166208879649
3212.876425282485,4987.734009823786
914.3623605814266,2381.284829391111
1428.2374906280365,2561.5339009239874
436.5265115185679,1512.6406059502779
509.28889573470116,3732.416192396224
5993.418962857508,3935.382034872897
1974.5275837966374,3563.512456901304
4011.6087398285827,4901.846775069791
6561.935816513082,3193.600100821547
5399.953275570762,5477.683736873633
2945.421041625041,3616.8025992490443
2427.3297829963317,2162.072114343697
3233.8249187563615,3596.183175355793
1832.120485342492,1421.788099777652
1585.0631264821452,4124.087516244816
2953.9559801230994,2158.758945581256
5635.058886680966,3876.256413928364
2434.8313944117326,5477.711382774188
2348.281953897208,3826.8680610686997
6637.766865433794,4594.1644525021675
6818.772429961521,4316.609770406541
4722.812528527821,4128.196275166928
2554.332604413176,3905.433829508582
2529.4403948798968,3474.5949540666184
5853.156402303037,4051.9734050998886
4311.216051695417,5642.484302960536
7877.331961260764,4326.127541061296
1881.894277985708,5466.568342365722
6662.9171896164835,4574.867505825829
7702.496027144795,4949.931913269119
7764.210223933012,5341.2872485594635
6189.398622658839,5465.99255036131
5828.955404196522,6829.7095730060755
6762.717769659679,5606.738518960293
9480.389715915013,4565.446047764876
8566.731671544116,4038.4590261316876
7209.369166809197,5720.071061552166
7015.6724274231465,3311.4399491051677
9368.946086554764,5561.936159904999
7207.236728227768,1802.483787748561
4365.24883700215,4578.113495629161
7922.949169676857,4769.222687853148
4642.948930962621,5501.3211300346275
6853.311539035414,3855.7305888295305
5545.798098250838,5208.285474820922
8193.582311448255,5304.0245896255665
8215.785046580693,5416.498916164133
5237.54064647548,4580.561166606621
4654.114796803724,3401.922733959877
7262.8851778958115,5142.104600935586
3034.0630575791133,4842.799430248461
7843.767880313025,3382.4656527235243
6964.431366392801,2364.7269461223887
3727.169649116136,4109.139973327799
3631.1057570773896,6029.206743513212
5271.019405894574,6690.681796399687
9746.61187338225,5991.606381607432
4267.85923408166,4977.667237443557
8063.581831861982,6234.475858880285
7706.39907540832,5377.631197198967
6183.673167215402,5387.223366385853
6571.922076422849,6352.843592291638
6891.962390282812,2977.0530125769183
3620.170082505222,3923.0030053954556
5183.014205842075,4340.28846293729
5516.486066625754,6627.257923287352
6107.611189050929,7383.442038877876
11142.077444711129,5235.22783204996
6719.607612028937,4836.011309454291
