,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,0.0,69.0,1646.4141619318118,9345.652842256994,1884.8738001394693,69.0,1,0,1
1,2.0,66.0,2245.732325520532,9403.745674556312,2956.357752315081,66.0,1,2,1
2,3.0,64.0,3496.5468620408883,8816.666186293513,2943.9997341095595,64.0,1,3,1
3,4.0,62.0,3685.945911992225,10050.485439768598,3562.46148603237,62.0,1,4,1
4,5.0,63.0,2085.867048723081,7846.834695523914,1691.5164285992107,63.0,1,5,1
5,6.0,63.0,2419.934986859914,7729.533999107795,4584.881587719681,63.0,1,6,1
6,7.0,59.0,3344.1913755369296,8576.162551604399,3053.8444372298077,59.0,1,7,1
7,8.0,59.0,2002.588147167667,9655.34008421353,2953.8092237895307,59.0,1,8,1
8,9.0,58.0,3717.0721242022537,6685.39029557648,3260.545974212412,58.0,1,9,1
9,10.0,65.0,2141.7867949233764,10464.624021293717,3741.255862932668,65.0,1,10,1
10,11.0,59.0,3188.1103835708445,10743.432645383973,4504.440125285446,59.0,1,11,1
11,12.0,60.0,2587.711091006836,9329.340837749944,3030.4256982823895,60.0,1,12,1
12,13.0,55.0,2765.850806595404,7364.272810773479,4436.886393474217,55.0,1,13,1
13,14.0,51.0,2760.6288705196616,8618.237146869384,5807.613296715994,51.0,1,14,1
14,15.0,50.0,1941.2876362875732,5685.749444364679,5792.70543938507,50.0,1,15,1
15,18.0,55.0,2033.0919266537703,7760.694686698828,4288.053456955736,55.0,1,18,1
16,19.0,51.0,2336.444002246557,6129.792286125326,4491.665927825316,51.0,1,19,1
17,20.0,48.0,2245.715240610629,6569.869605085562,7950.900511647631,48.0,1,20,1
18,21.0,51.0,3987.6559895265063,6664.747364281917,4716.463561242133,51.0,1,21,1
19,23.0,44.0,5696.730601573136,5707.929564742719,11298.50897840163,44.0,1,23,1
20,24.0,50.0,3037.4067332529594,6121.002157244002,6575.475765414618,50.0,1,24,1
21,25.0,50.0,4747.032838011286,6230.117319316532,6419.378427387786,50.0,1,25,1
22,27.0,50.0,3128.2784663351813,7374.272191568869,5959.821016452461,50.0,1,27,1
23,29.0,50.0,1885.0881609903968,5714.170970624049,5284.328868282671,50.0,1,29,1
24,30.0,53.0,2751.7231943157667,7245.22239739541,4559.5181368553,53.0,1,30,1
25,31.0,51.0,1641.2433065608795,5993.933750062253,4898.8924369868255,51.0,1,31,1
26,32.0,49.0,2708.628712770689,7154.430617264122,7306.471708972778,49.0,1,32,1
27,33.0,46.0,3226.054590924131,5779.1987552291985,6434.634349224751,46.0,1,33,1
28,34.0,48.0,4950.863856549926,9090.581878783036,5860.3361158764565,48.0,1,34,1
29,35.0,47.0,3981.474790783085,6773.485651980546,5480.37026821085,47.0,1,35,1
30,36.0,45.0,2599.705909945348,5349.954082948636,5603.983473067982,45.0,1,36,1
31,37.0,43.0,2989.375000466435,5293.730124025259,7026.9839676427255,43.0,1,37,1
32,38.0,40.0,3142.0493227247925,5643.472455346959,7164.148962722828,40.0,1,38,1
33,39.0,42.0,3440.9353343241523,5267.045701703516,8254.042129635463,42.0,1,39,1
34,40.0,44.0,3193.548228796374,4484.137035766155,6218.843552164422,44.0,1,40,1
35,41.0,46.0,4354.881829676105,5332.77312982336,7168.648086023756,46.0,1,41,1
36,42.0,43.0,2990.6594695547255,6656.943444706018,5787.1824474321,43.0,1,42,1
37,43.0,42.0,4073.8817678610744,5739.288324571065,8687.44514231111,42.0,1,43,1
38,44.0,39.0,5055.913638548967,5880.994058880599,9727.309679465547,39.0,1,44,1
39,45.0,41.0,3943.8074638200233,4173.52513455752,6114.928243000747,41.0,1,45,1
40,46.0,36.0,2899.877166134561,6024.001049880146,7324.729114698595,36.0,1,46,1
41,47.0,28.0,4228.604321534545,3434.6697948274486,9686.676445636116,28.0,1,47,1
42,49.0,31.0,2429.0702990435466,4111.806782350015,9198.954957553662,31.0,1,49,1
43,50.0,28.0,2940.673040855533,4303.140924121516,11541.309105357128,28.0,1,50,1
44,51.0,26.0,3221.395158701971,4188.185064022113,10183.036692503818,26.0,1,51,1
45,52.0,28.0,1712.6246444913554,2758.0344830971535,8035.394914869442,28.0,1,52,1
46,53.0,27.0,2440.263282679077,2686.1188947808805,7610.416219151166,27.0,1,53,1
47,54.0,29.0,2260.4067095817586,2932.8989229610434,10241.907342793278,29.0,1,54,1
48,55.0,33.0,3700.9289695211637,4686.958341383515,7130.166228622401,33.0,1,55,1
49,56.0,30.0,2766.4712105415974,2891.658334270291,11736.732234760386,30.0,1,56,1
50,57.0,30.0,3505.2372376524404,4425.5478418016355,10401.213663910868,30.0,1,57,1
51,59.0,23.0,3453.458301904997,2338.280330686807,11652.21615872519,23.0,1,59,1
52,60.0,25.0,4352.542584386769,2874.8426712087394,9247.763179191712,25.0,1,60,1
53,61.0,25.0,3113.60172166607,3646.655990469466,7561.648190232171,25.0,1,61,1
54,62.0,24.0,5366.688137517513,3225.458034986034,9018.132709802148,24.0,1,62,1
55,63.0,22.0,2597.5460620499944,2417.3366699662533,12427.078725117868,22.0,1,63,1
56,64.0,20.0,3388.4779061811505,2222.7513040384697,14624.751238701005,20.0,1,64,1
57,65.0,21.0,3631.88264331143,3397.352432400659,11028.700380670603,21.0,1,65,1
58,66.0,18.0,2372.1242371943454,1515.3282857916395,9122.352535829972,18.0,1,66,1
59,67.0,19.0,3111.3336235490324,1878.2693809221116,9861.358189580526,19.0,1,67,1
60,68.0,17.0,3828.4972117232023,1087.8681692704165,11896.672521841156,17.0,1,68,1
61,69.0,14.0,3557.375801004205,1891.771375270791,11131.49830678693,14.0,1,69,1
62,70.0,12.0,4585.529479321463,915.2255881140941,13024.844257415934,12.0,1,70,1
63,71.0,10.0,4391.481370718054,994.7030847253728,11430.586384317829,10.0,1,71,1
64,72.0,11.0,5381.090245068826,735.8688350005299,14583.024568752084,11.0,1,72,1
65,73.0,11.0,5166.670714514042,949.7543124875347,11037.987347031267,11.0,1,73,1
66,74.0,10.0,4858.499214221209,819.7585313962879,22638.694456001977,10.0,1,74,1
67,77.0,11.0,4821.903855597142,1286.1679207415427,12477.225298339054,11.0,1,77,1
68,78.0,10.0,5062.720193462392,656.2589655887613,13007.482406799356,10.0,1,78,1
