,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,0.0,40.0,3471.087012924668,10863.70102121132,6121.015930122302,40.0,1,0,1
1,1.0,43.0,3919.342807885363,9030.125622237847,6460.689407962953,43.0,1,1,1
2,2.0,41.0,3789.2003429354927,8574.252121688576,5671.318253741027,41.0,1,2,1
3,3.0,43.0,4633.086477787528,6753.795051043655,6165.224613567194,43.0,1,3,1
4,4.0,42.0,5393.637921081912,4614.860436421696,9732.67154255589,42.0,1,4,1
5,5.0,42.0,3983.0668910638924,7371.528452395749,5960.672504557868,42.0,1,5,1
6,6.0,42.0,5376.6281056997195,8967.704133964906,9591.384233370802,42.0,1,6,1
7,7.0,44.0,3399.2311372155027,6203.177546280704,5356.591963899189,44.0,1,7,1
8,9.0,42.0,4828.223844102597,9390.190061306037,6813.079329673269,42.0,1,9,1
9,10.0,40.0,3134.111219105751,11748.581055941364,8879.724156280658,40.0,1,10,1
10,11.0,40.0,3489.131793228243,10147.989360457208,7651.337380602632,40.0,1,11,1
11,13.0,40.0,2829.244596321824,12508.26410494086,3737.7866690631977,40.0,1,13,1
12,16.0,39.0,3575.5114317428297,11191.04882830158,7682.3955044997065,39.0,1,16,1
13,17.0,40.0,4074.897993586669,7875.5973922242865,5266.515484178298,40.0,1,17,1
14,18.0,42.0,3788.5843392507622,8118.229880489424,7677.6205657784185,42.0,1,18,1
15,19.0,42.0,4173.676250962246,12528.937372284287,4546.777394470179,42.0,1,19,1
16,20.0,44.0,2842.1426405462535,7325.102248122966,5288.197688021272,44.0,1,20,1
17,21.0,39.0,7563.2003154279555,8430.117748353421,8659.392112897347,39.0,1,21,1
18,22.0,38.0,5993.2595857991455,11704.788174480014,8563.510390795589,38.0,1,22,1
19,23.0,41.0,5136.090993743337,11580.824926947402,9289.19968447163,41.0,1,23,1
20,24.0,50.0,3199.2027011052496,8170.747239811759,6523.987660547469,50.0,1,24,1
21,25.0,42.0,4927.022673318831,5309.607618462888,7073.161997732188,42.0,1,25,1
22,26.0,42.0,8111.1889035237045,6606.41187669532,4882.784826931578,42.0,1,26,1
23,27.0,40.0,3772.4228655697416,9342.178555527014,10294.92893952775,40.0,1,27,1
24,28.0,39.0,3245.0317971932836,7011.326471540955,7183.371838573388,39.0,1,28,1
25,29.0,30.0,3781.7726710493835,5558.792002539412,11144.54788873731,30.0,1,29,1
26,32.0,34.0,4236.469778054493,5211.010269509389,6751.993923185778,34.0,1,32,1
27,33.0,35.0,3754.0174144298744,7567.860354138288,10677.20408275415,35.0,1,33,1
28,34.0,37.0,3956.7458467138513,5622.759273912915,8283.759126931942,37.0,1,34,1
29,35.0,35.0,7615.021327797551,7815.447930390473,9343.563328972989,35.0,1,35,1
30,36.0,38.0,4160.447695031501,6706.60020127853,6970.03570034387,38.0,1,36,1
31,37.0,36.0,2025.7896137917837,4114.8890265017235,8969.248121184848,36.0,1,37,1
32,38.0,33.0,4017.6017599733486,6674.824029423873,11860.796370825046,33.0,1,38,1
33,39.0,30.0,1841.9793798716128,5203.95545076865,7350.733402713295,30.0,1,39,1
34,40.0,32.0,5275.767700317294,7100.207408683181,9511.16958739746,32.0,1,40,1
35,41.0,33.0,4657.943387809171,7670.812671415515,7596.5466074051565,33.0,1,41,1
