,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,20.0,42.0,3520.6944281472925,7377.829659752928,4637.3185845386115,42.0,1,20,1
1,21.0,41.0,2752.0705448005297,5088.03726298745,6814.448288228928,41.0,1,21,1
2,25.0,39.0,2160.4069831101533,3273.7815155782737,6062.536970332735,39.0,1,25,1
3,27.0,40.0,1809.6408520572813,4630.394919123782,4718.257056263759,40.0,1,27,1
4,28.0,36.0,1360.129299444699,3972.7476527156905,5284.239446528375,36.0,1,28,1
5,29.0,36.0,2199.403091775955,3762.351577878228,5976.995021567574,36.0,1,29,1
6,30.0,36.0,2048.5220018071077,4284.1597427343495,5389.590471625838,36.0,1,30,1
7,31.0,32.0,1507.8359465799142,2704.0197142721654,6494.840343656708,32.0,1,31,1
8,33.0,28.0,1895.2958689487307,2312.672458586443,6837.382974880602,28.0,1,33,1
9,34.0,38.0,2974.8001461971885,4899.16417230514,6378.834416855816,38.0,1,34,1
10,35.0,31.0,1823.3954515073706,3683.348625865289,6306.8586318592625,31.0,1,35,1
11,36.0,25.0,2132.3138930190753,3196.3155554168643,7993.693473879537,25.0,1,36,1
12,37.0,29.0,1650.4098167546297,2695.2356654534974,7053.637107829246,29.0,1,37,1
13,38.0,27.0,1813.6458650869163,2178.951662480179,5757.764223560604,27.0,1,38,1
14,39.0,29.0,1837.1226495623166,2977.513977763207,6829.19409914744,29.0,1,39,1
15,40.0,26.0,2216.0761364952727,2805.022495647421,7920.6675827631725,26.0,1,40,1
16,42.0,29.0,1974.7177226161366,4218.598447053939,6767.392074671003,29.0,1,42,1
17,43.0,29.0,1987.5459584592893,2714.82552141382,6072.41735723063,29.0,1,43,1
18,44.0,22.0,2407.045986081502,2456.384448185768,7938.638414262379,22.0,1,44,1
19,45.0,25.0,1609.503068109624,2498.0198986104388,7883.808903263662,25.0,1,45,1
20,46.0,20.0,2839.4869279991517,1973.585660689242,7918.047723481963,20.0,1,46,1
21,48.0,19.0,2304.762857503022,2686.9613940659497,9345.273247277173,19.0,1,48,1
22,49.0,18.0,2213.8756048529517,1061.851931880727,9503.19477887312,18.0,1,49,1
23,50.0,12.0,2645.496928930833,1326.3244028683623,9327.127897845203,12.0,1,50,1
24,51.0,13.0,2476.9856268313843,1186.1623287338393,7542.96418820579,13.0,1,51,1
25,52.0,15.0,3264.0647800713277,1072.093265195575,10064.119407215812,15.0,1,52,1
26,53.0,12.0,2682.8641585787836,630.466753149937,10052.841296783576,12.0,1,53,1
27,54.0,11.0,3522.8718012428267,717.2564687013178,8584.385759439145,11.0,1,54,1
28,55.0,11.0,2687.7896832030883,968.2916452553258,11089.901377163156,11.0,1,55,1
29,56.0,12.0,2397.7049677119803,657.3916877922114,9672.714162698214,12.0,1,56,1
30,57.0,10.0,2339.85442365875,668.2972701212175,7736.418327155542,10.0,1,57,1
31,58.0,10.0,2524.4267721936594,600.2371309724426,10377.837684897659,10.0,1,58,1
32,59.0,9.0,3246.9237731668827,648.2584885144224,9293.623680071789,9.0,1,59,1
33,60.0,10.0,3055.4023963258364,830.1375905049529,10947.358044192202,10.0,1,60,1
34,62.0,9.0,2773.336690231778,619.1694938166872,9567.026694701895,9.0,1,62,1
