,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,0.0,70.0,3547.524095387089,11172.256317997473,4528.563053815193,70.0,1,0,3
1,1.0,69.0,4114.324554251347,8917.168172475107,4701.290938829993,69.0,1,1,3
2,2.0,69.0,4630.207443357389,10641.0925013451,4293.902437991319,69.0,1,2,3
3,3.0,70.0,5098.0668180041375,8841.55574117176,3846.847661889718,70.0,1,3,3
4,4.0,71.0,4222.820486937978,11566.947905254998,4302.5817248870535,71.0,1,4,3
5,5.0,72.0,4505.431839875606,8820.383498889869,5779.867308706742,72.0,1,5,3
6,6.0,72.0,5498.964409070976,10115.200487226963,4381.323411851742,72.0,1,6,3
7,7.0,75.0,4304.836312690449,10500.981447936563,3729.9499779375437,75.0,1,7,3
8,8.0,76.0,2239.7524514797055,9360.909412519803,1462.3876857764922,76.0,1,8,3
9,9.0,75.0,5188.35294627017,12135.593763071069,3041.652619158858,75.0,1,9,3
10,10.0,74.0,4447.131783348358,11164.916050930166,4005.177206100291,74.0,1,10,3
11,11.0,75.0,3718.3750088512606,11526.8077805751,4849.951513609722,75.0,1,11,3
12,12.0,75.0,3880.4282833483967,9258.355306748097,3529.0402975257184,75.0,1,12,3
13,13.0,74.0,3443.263828510683,9850.471588890798,4731.95973279293,74.0,1,13,3
14,14.0,73.0,5409.745328997906,9020.087991126964,4883.414747900042,73.0,1,14,3
15,15.0,75.0,4220.759831540914,11162.450859049335,3118.837376110472,75.0,1,15,3
16,16.0,78.0,2871.844359814074,11952.083264369692,2127.4371947614836,78.0,1,16,3
17,17.0,73.0,3748.7270216960333,8722.270847833044,5162.6203184450815,73.0,1,17,3
18,18.0,76.0,4554.558188780271,12381.361800708999,2970.7048859978786,76.0,1,18,3
19,19.0,76.0,4258.231753736589,9524.926715698934,2219.1762340185246,76.0,1,19,3
20,20.0,76.0,4260.356625043358,8375.121608963691,3916.6645061348217,76.0,1,20,3
21,21.0,75.0,3871.1979263163507,11805.28870031673,2557.5646225586347,75.0,1,21,3
22,22.0,74.0,2603.3843356648995,10119.156504072462,3626.4608004244487,74.0,1,22,3
23,23.0,75.0,3212.3967282936874,13475.407702725099,4213.036042671821,75.0,1,23,3
24,24.0,75.0,3089.3663272889316,9688.827585636753,1795.8431516690084,75.0,1,24,3
25,26.0,70.0,2388.7412716430917,8853.722776402974,3079.4495673527917,70.0,1,26,3
26,28.0,74.0,1999.7977402664849,10761.905547245555,3307.182142426004,74.0,1,28,3
27,29.0,75.0,2905.0114345137563,11206.57885244276,2399.2624477377335,75.0,1,29,3
28,30.0,74.0,4215.444508389226,9342.990500619237,3209.5890024874516,74.0,1,30,3
29,31.0,74.0,2031.167031463531,8982.792184282069,3976.976272095655,74.0,1,31,3
30,32.0,72.0,3554.721463451034,10440.329643289077,3140.2243409179177,72.0,1,32,3
31,34.0,74.0,2452.117251887257,7830.736216122201,2216.7274529545903,74.0,1,34,3
32,35.0,71.0,3139.3326015186976,12858.873544412829,3772.057657850789,71.0,1,35,3
33,38.0,77.0,2062.375668302822,11185.373624412601,2165.4061450925633,77.0,1,38,3
34,39.0,73.0,2145.3282167505263,9839.760720478767,2704.688198645459,73.0,1,39,3
35,42.0,70.0,2640.4698061625595,10756.083150804328,3665.326156221767,70.0,1,42,3
36,43.0,75.0,1860.876466451794,9498.455089011728,3296.04145994562,75.0,1,43,3
37,44.0,74.0,2872.270818321094,8864.876700624898,4905.730071140439,74.0,1,44,3
38,45.0,77.0,1885.5643174139882,12040.191142613561,2706.9940743663165,77.0,1,45,3
39,46.0,75.0,3384.8697303889794,8408.976951719713,4486.548876584492,75.0,1,46,3
40,47.0,73.0,1950.598600500435,8351.568048712068,3246.223875391095,73.0,1,47,3
41,48.0,78.0,2232.6567871037078,10763.257861710104,1969.3106109381424,78.0,1,48,3
42,50.0,74.0,2236.7735543958734,11909.805734552347,3656.0940659372372,74.0,1,50,3
43,52.0,76.0,2338.7419809151006,8159.373897725726,3156.6094379542465,76.0,1,52,3
44,53.0,73.0,2060.419457486917,8400.483465418029,2697.835663443062,73.0,1,53,3
45,55.0,70.0,2145.5699019353424,9006.728923747094,4292.719340559047,70.0,1,55,3
46,56.0,73.0,2091.8677100124423,11666.31491840797,3621.198573979049,73.0,1,56,3
47,57.0,74.0,1910.805348213927,10956.857345867214,3643.6429118891047,74.0,1,57,3
48,59.0,73.0,2553.5379077420653,9450.640548461326,3110.3905074364743,73.0,1,59,3
49,60.0,73.0,3666.213932004139,8474.610614505551,3410.8236858006776,73.0,1,60,3
50,61.0,78.0,1943.1708048119037,13359.275007850498,2085.511507580287,78.0,1,61,3
51,62.0,72.0,2119.841998323441,9254.752923229438,3993.2985231194984,72.0,1,62,3
52,63.0,75.0,1982.0434179667081,9355.524294152308,3789.663377779446,75.0,1,63,3
53,65.0,72.0,3079.4220976098914,8629.770955545253,2940.6105748368636,72.0,1,65,3
54,69.0,73.0,2337.0299054521865,11044.172955313614,3718.395684678116,73.0,1,69,3
55,71.0,72.0,2488.559849187318,8702.499017135913,5042.9383374386925,72.0,1,71,3
56,74.0,70.0,3067.6312763812393,11536.046126584077,3986.503068314276,70.0,1,74,3
57,75.0,74.0,2463.8887290848543,9504.508882911576,4800.295988092812,74.0,1,75,3
58,76.0,72.0,2686.135675802153,10270.641132271356,3627.4984228451713,72.0,1,76,3
59,78.0,75.0,2043.931035645742,10677.559630652146,1939.142792485291,75.0,1,78,3
60,80.0,80.0,2079.5953902520664,12442.52103964266,2016.7528387305356,80.0,1,80,3
61,81.0,73.0,1866.2648205556877,8443.100103689456,3572.0716794975974,73.0,1,81,3
62,82.0,72.0,3117.7815857490696,13321.964336680318,4054.206221716298,72.0,1,82,3
63,83.0,75.0,2265.5796553491014,10756.526990125478,2579.1803312296734,75.0,1,83,3
64,84.0,71.0,3225.8976497203685,10859.425166624049,3564.6602305026368,71.0,1,84,3
65,85.0,69.0,2513.9627354274735,9353.449993211605,3110.7389697577437,69.0,1,85,3
66,88.0,73.0,1874.8185633335036,11457.122428575916,2841.7487360373098,73.0,1,88,3
67,89.0,73.0,2195.713742547399,8576.383046803303,4279.0279554729395,73.0,1,89,3
68,91.0,76.0,2640.011988575665,7308.289321603523,3864.008585183683,76.0,1,91,3
69,93.0,75.0,1960.7955779672275,9514.32517397174,3240.9465947097046,75.0,1,93,3
70,95.0,72.0,2613.0428071889955,9597.950272055925,3727.594259611403,72.0,1,95,3
71,97.0,74.0,2648.7781768405002,10998.901035424564,2818.0811669075692,74.0,1,97,3
72,98.0,76.0,2374.7437066627785,8679.959049615687,2944.8755939002663,76.0,1,98,3
73,100.0,77.0,2069.9148739604316,13775.746385346585,3168.59166997499,77.0,1,100,3
74,101.0,73.0,1854.2286628665945,10545.76808209802,4489.061612560593,73.0,1,101,3
75,102.0,69.0,2551.8996473738807,7088.422202264436,4796.811058759526,69.0,1,102,3
76,103.0,74.0,2019.21479758058,12174.858449920759,2512.6543404300137,74.0,1,103,3
77,105.0,76.0,2466.457700001125,12046.853458784744,3198.5455594574987,76.0,1,105,3
78,106.0,75.0,2188.2661277148545,10723.966149130156,2350.245234292493,75.0,1,106,3
79,107.0,75.0,2755.964615353019,8514.926537518717,2691.5247010863527,75.0,1,107,3
80,108.0,72.0,2512.603862362313,8714.36256786556,2392.9074285597653,72.0,1,108,3
81,112.0,71.0,2303.822243249663,6372.038442962588,2822.7582387877815,71.0,1,112,3
82,115.0,73.0,2277.545974411906,8767.030485201685,3314.609800369899,73.0,1,115,3
83,118.0,71.0,2463.18559585771,9783.156230157363,3811.4450317931455,71.0,1,118,3
84,119.0,69.0,3089.337619103577,10220.789364200138,3589.8121480044583,69.0,1,119,3
85,120.0,71.0,2085.074625972231,10964.147193229926,6106.234147878034,71.0,1,120,3
86,122.0,71.0,2766.915042010439,11832.086991546641,5224.1845014893115,71.0,1,122,3
87,123.0,65.0,2512.1710137930027,8157.447155822583,7641.766488494607,65.0,1,123,3
88,125.0,73.0,2325.8414298237153,7633.454755417499,3856.487204428833,73.0,1,125,3
89,126.0,68.0,2652.73424660588,9593.05010914588,7157.128895713544,68.0,1,126,3
90,128.0,73.0,1928.7751501354105,9709.082843325086,5328.986429046197,73.0,1,128,3
91,132.0,70.0,2898.9710073993233,9031.56009998982,10232.497367711521,70.0,1,132,3
92,138.0,72.0,3213.5011396292834,10577.306574398273,5961.678264310316,72.0,1,138,3
93,141.0,70.0,2484.4100311426073,10538.365898178976,6462.5580430491145,70.0,1,141,3
94,143.0,71.0,2609.131498143519,8633.970982761246,4773.526439574369,71.0,1,143,3
95,147.0,72.0,2441.571942814368,9748.705924817561,4470.244225459926,72.0,1,147,3
96,149.0,72.0,2943.456843673975,10126.060028809163,4364.939966289596,72.0,1,149,3
97,154.0,71.0,2086.7361989055316,8395.332586325463,6426.075873313219,71.0,1,154,3
98,155.0,74.0,2006.2841710872513,8698.70928912514,5182.84024389766,74.0,1,155,3
99,156.0,74.0,2138.030487479011,11396.584085083192,3608.8458065509385,74.0,1,156,3
