,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,7.0,67.0,5470.023627444827,10133.470461775943,5278.251353134334,67.0,1,7,1
1,8.0,66.0,3554.5563481094505,15512.06235006204,4822.71457799015,66.0,1,8,1
2,9.0,68.0,4081.0654868542647,13138.975468215858,4156.017164173921,68.0,1,9,1
3,10.0,67.0,5059.691218917299,16833.24645157649,3719.452853340766,67.0,1,10,1
4,11.0,64.0,2406.8422753173077,12848.346414609288,2364.6248168798834,64.0,1,11,1
5,12.0,65.0,4447.394306883785,15127.13645685613,8307.645772045767,65.0,1,12,1
6,13.0,66.0,2991.2828788106126,12765.025179406957,1839.049515615431,66.0,1,13,1
7,14.0,64.0,6509.6497495340445,9669.236639969817,6712.670176448991,64.0,1,14,1
8,15.0,66.0,4744.968429576122,12341.558054774907,3830.381129881372,66.0,1,15,1
9,16.0,61.0,3721.7777834984636,8313.005640745618,6806.8920023564415,61.0,1,16,1
10,17.0,61.0,3675.832617901214,7408.838022258944,5913.897774945632,61.0,1,17,1
11,18.0,58.0,4744.340217365388,9623.343966218128,6000.450850600656,58.0,1,18,1
12,19.0,54.0,3311.0747336550485,12390.946665209736,7245.974086619532,54.0,1,19,1
13,20.0,58.0,5875.914053971025,5570.023089494045,6705.750919928028,58.0,1,20,1
14,21.0,57.0,4523.413953589859,7489.239542954378,7751.36979363261,57.0,1,21,1
15,22.0,49.0,2637.813652895158,7534.735475429821,6204.958716741762,49.0,1,22,1
16,23.0,56.0,4964.398745032215,10083.323661267399,8792.247169985949,56.0,1,23,1
17,24.0,59.0,7246.98995517459,10981.494266075737,5839.501020295023,59.0,1,24,1
18,25.0,59.0,3603.654718410198,10479.061377665843,4500.554558981148,59.0,1,25,1
19,27.0,54.0,5312.701188666218,6638.402046216376,9637.609024883932,54.0,1,27,1
20,28.0,50.0,6500.577861575056,5931.043131587448,6034.583602854361,50.0,1,28,1
21,29.0,53.0,4489.534966944371,7337.329722251927,9090.395250794078,53.0,1,29,1
22,30.0,47.0,3741.8723769703874,7967.092837988205,5070.773921010075,47.0,1,30,1
23,31.0,48.0,4398.03382780542,7454.780950523679,8942.313082745124,48.0,1,31,1
24,32.0,51.0,3513.885851497581,9837.098617466165,4511.502238450112,51.0,1,32,1
25,34.0,43.0,2647.6848671572698,6832.92378358313,8488.983960477104,43.0,1,34,1
26,35.0,44.0,5262.340038317338,3817.653719713662,13648.384844227803,44.0,1,35,1
27,36.0,45.0,4340.811405275172,7133.972096050137,9374.614731503312,45.0,1,36,1
28,37.0,43.0,5236.030755406206,6212.681317425284,7126.455097758748,43.0,1,37,1
29,38.0,45.0,3893.1816024593363,11758.697342557596,7962.14808489681,45.0,1,38,1
30,39.0,40.0,3152.3573557945456,6075.034387767497,9244.75887445113,40.0,1,39,1
31,40.0,39.0,3548.277736463448,7342.321124638425,7372.347947787239,39.0,1,40,1
32,41.0,39.0,3590.5646941326304,3946.8649587547343,7213.706318763209,39.0,1,41,1
33,42.0,36.0,5340.744654022004,5427.869773358752,11449.485753256717,36.0,1,42,1
34,43.0,35.0,4040.7459633120307,4294.913641596589,8497.211253679345,35.0,1,43,1
