,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,0.0,39.0,1142.0163023515793,4441.994288378033,6460.394977584064,39.0,1,0,1
1,3.0,43.0,3024.8385693285663,5359.351371063565,5497.1869342783375,43.0,1,3,1
2,4.0,42.0,1932.69640505925,6183.415867378484,7716.301061297014,42.0,1,4,1
3,5.0,44.0,3199.9041759976662,4939.209023977074,5937.468253345052,44.0,1,5,1
4,7.0,38.0,2752.7281256928004,3949.237157552314,6796.292319466713,38.0,1,7,1
5,8.0,44.0,2550.7083486613765,5751.688814242008,6882.095874484674,44.0,1,8,1
6,9.0,51.0,2027.5555601309477,5937.066881776467,5137.876668212852,51.0,1,9,1
7,10.0,51.0,3348.145427320383,6535.0956942067505,7308.501749350888,51.0,1,10,1
8,11.0,55.0,2415.691034133633,7306.633365748337,7134.019422411997,55.0,1,11,1
9,12.0,54.0,1996.0470362441697,7374.020456286002,5494.839582843482,54.0,1,12,1
10,13.0,55.0,3197.436339370358,10716.839032256385,5101.254487081971,55.0,1,13,1
11,14.0,53.0,3857.102616406337,6976.411314993256,5563.277834010928,53.0,1,14,1
12,15.0,58.0,3207.1065396888025,7188.699566622934,4401.820138685025,58.0,1,15,1
13,16.0,56.0,2677.7212448315636,9237.968763710149,7451.40613545841,56.0,1,16,1
14,17.0,57.0,3889.7941483138065,8859.475404981858,5039.934261698779,57.0,1,17,1
15,18.0,59.0,3295.370310324715,7714.362820743173,5169.358436843209,59.0,1,18,1
16,19.0,60.0,4625.80333159478,8402.155535845819,5617.756164350535,60.0,1,19,1
17,20.0,59.0,1763.3564134272806,7977.334706636186,5624.029678209499,59.0,1,20,1
18,21.0,65.0,3914.079182466763,10214.202656572772,4613.492165005898,65.0,1,21,1
19,22.0,67.0,3765.2746787703836,8813.54241013017,3284.9871864961515,67.0,1,22,1
20,23.0,66.0,2834.7031987216624,11661.262180330152,2602.4185058385087,66.0,1,23,1
21,24.0,63.0,2537.0658959312223,8878.02523889153,3647.6801959048134,63.0,1,24,1
22,25.0,66.0,3635.0913336653043,10955.582162585644,3630.114657989573,66.0,1,25,1
23,26.0,64.0,4414.551810060844,8140.0501791973165,5157.133270282836,64.0,1,26,1
24,27.0,69.0,2891.045811710218,10876.524024079492,3223.6209720212423,69.0,1,27,1
25,28.0,69.0,4647.9614747168125,8580.17611879669,3049.504790260838,69.0,1,28,1
26,29.0,70.0,4506.327542562729,11155.345560159996,3774.3055017877073,70.0,1,29,1
27,30.0,73.0,5876.400032187661,10119.672116857371,2607.8933164819723,73.0,1,30,1
