,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,0.0,87.0,2769.9845196845035,10812.26309401368,3264.06086671042,87.0,1,0,1
1,3.0,89.0,2237.4628039621534,13061.974144671285,1339.4019422387132,89.0,1,3,1
2,4.0,86.0,1971.2670324543228,10978.15534443036,2613.5895859310385,86.0,1,4,1
3,5.0,88.0,3737.519669782091,15497.48993098943,1972.0602300333053,88.0,1,5,1
4,8.0,82.0,3591.492088695694,14405.155137319709,4453.1669563892865,82.0,1,8,1
5,10.0,82.0,3114.3251406365425,16552.970815345794,2312.7556125087704,82.0,1,10,1
6,11.0,82.0,2762.225981253003,11755.55814732231,1960.5484280745216,82.0,1,11,1
7,12.0,80.0,2664.4805330403096,15111.300260514929,3419.197333865586,80.0,1,12,1
8,17.0,79.0,2969.9644898521096,10979.209562171407,3872.5120037484376,79.0,1,17,1
9,19.0,79.0,3328.7053786545184,10506.464168047569,4572.294035452517,79.0,1,19,1
10,20.0,78.0,4120.909768619678,13157.84911007111,3237.9450140135928,78.0,1,20,1
11,21.0,75.0,2965.745270489295,13358.536628985197,3143.6096589019103,75.0,1,21,1
12,22.0,75.0,3875.1428928150926,12652.975220319966,6536.0382157995155,75.0,1,22,1
13,23.0,76.0,2727.791219523258,10960.14316275661,4501.059758286301,76.0,1,23,1
14,25.0,79.0,1946.9993199565918,10167.875651219749,2893.1402886948017,79.0,1,25,1
15,26.0,76.0,2655.431009772193,12091.009653799703,2800.966546280691,76.0,1,26,1
16,27.0,79.0,2208.6434373713223,12239.342713436085,3437.4746186650386,79.0,1,27,1
17,28.0,80.0,3884.9951378106734,15107.304010387646,4803.150862468173,80.0,1,28,1
18,29.0,73.0,2795.009972638541,11920.214319735089,3414.417450903995,73.0,1,29,1
19,31.0,71.0,1922.577206137418,11142.322615125393,3923.0809392529254,71.0,1,31,1
20,32.0,74.0,2132.4732716334156,10548.121451047395,2908.9474455810455,74.0,1,32,1
21,33.0,72.0,2972.1710064210847,10584.582844777846,5187.341049138243,72.0,1,33,1
22,34.0,68.0,2279.587579399051,11196.85298518958,2827.227005701108,68.0,1,34,1
23,35.0,72.0,1648.5597736483455,12115.63602638176,4087.6654439785407,72.0,1,35,1
24,37.0,73.0,2965.1136399905777,10535.805539289351,4796.48456792488,73.0,1,37,1
25,38.0,69.0,2120.070532284365,9995.822501051074,6154.903541693924,69.0,1,38,1
26,41.0,65.0,2240.605454579798,11840.654931541814,6282.916270977064,65.0,1,41,1
27,44.0,64.0,2058.5265511723196,6887.738340325028,6907.6614240900735,64.0,1,44,1
28,45.0,62.0,3159.090302252629,9985.54953611702,5023.716643778637,62.0,1,45,1
29,46.0,61.0,3074.7481239998087,8985.78667611264,7248.383776279588,61.0,1,46,1
30,47.0,63.0,4695.141064530277,8806.652652404911,7277.721522345628,63.0,1,47,1
31,48.0,60.0,2454.8961420780474,9641.351356900888,9077.868378018162,60.0,1,48,1
32,49.0,59.0,2472.5748683111906,9648.818348555182,6833.627739547972,59.0,1,49,1
33,51.0,52.0,2141.8904246074635,9690.973424448232,7548.052518894881,52.0,1,51,1
34,52.0,56.0,2629.5933934165805,10380.941729014392,10638.637975184623,56.0,1,52,1
35,54.0,57.0,3517.7149835678,9740.57541903768,8999.981172819802,57.0,1,54,1
36,57.0,58.0,2371.9924740090064,12117.699838545108,5929.794734263827,58.0,1,57,1
37,60.0,58.0,2201.0446570991985,12064.376210939663,5701.62985104035,58.0,1,60,1
38,62.0,53.0,2449.206124249925,11354.566531965665,6589.602249663706,53.0,1,62,1
39,66.0,52.0,2315.682489173145,9328.516327466088,6303.568698072106,52.0,1,66,1
40,70.0,45.0,4193.203187567164,11151.530856788842,9807.894841026233,45.0,1,70,1
41,71.0,52.0,2568.4399625593096,8597.333455394362,7019.889540915404,52.0,1,71,1
42,73.0,47.0,2332.808837730457,8350.66910289588,10162.256203880763,47.0,1,73,1
43,75.0,48.0,1816.7721652664445,6859.12229572892,8091.394246114398,48.0,1,75,1
44,76.0,42.0,2157.6011162351842,8077.235706222971,9032.860158595251,42.0,1,76,1
45,80.0,41.0,3688.1357755931012,11580.51251202634,8718.2139397631,41.0,1,80,1
46,81.0,39.0,2541.1459653638485,9209.147997312197,9967.178583321385,39.0,1,81,1
47,86.0,37.0,3344.9871080046305,6788.224619666418,8888.480164744351,37.0,1,86,1
48,87.0,38.0,1854.7825737493383,5746.973730614867,12708.624342606869,38.0,1,87,1
49,90.0,40.0,2368.3530630315163,7189.078604482092,9354.357866026952,40.0,1,90,1
50,93.0,32.0,2831.3877658348692,6650.535112656371,11199.052411759727,32.0,1,93,1
51,94.0,31.0,2472.6122500613387,3926.5060354479674,10333.145910100027,31.0,1,94,1
52,95.0,35.0,3757.9310524906273,7552.690265549007,10798.320608376402,35.0,1,95,1
53,96.0,40.0,2664.097744132251,7673.304398387339,10762.939795443423,40.0,1,96,1
