,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,7.0,64.0,9267.05866323841,11460.854203185074,7361.647335513799,64.0,1,7,2
1,8.0,67.0,6689.432023918089,10575.5316559786,3895.0457823804636,67.0,1,8,2
2,9.0,66.0,6495.9686013111,13571.02901930876,6328.082957051974,66.0,1,9,2
3,10.0,69.0,7520.908693254812,13788.291102733823,8159.43340427851,69.0,1,10,2
4,11.0,72.0,6051.357910545483,15127.515939535284,6993.788244039697,72.0,1,11,2
5,12.0,75.0,5035.589989063126,12564.152715743223,3659.8021985222313,75.0,1,12,2
6,13.0,69.0,19720.57656361736,25726.97593020019,8279.047288917054,69.0,1,13,2
7,15.0,70.0,5705.583741098784,13745.166606789617,5339.999110870512,70.0,1,15,2
8,16.0,72.0,4387.722408527327,11936.35915226222,4221.345741610698,72.0,1,16,2
9,17.0,74.0,6544.906552632805,14305.263705616539,5879.295091386934,74.0,1,17,2
10,18.0,73.0,5596.031331032611,14786.554356390396,3528.568683880704,73.0,1,18,2
11,19.0,78.0,3706.9683707509466,17409.88278992302,3681.5775254887208,78.0,1,19,2
12,20.0,77.0,5941.3390521274,13722.574359159955,2476.1247176020884,77.0,1,20,2
13,21.0,79.0,4215.960132846957,87003.60537946985,1506.1173983521508,79.0,1,21,2
14,24.0,82.0,3515.5652197547415,27947.113199084677,2405.6384684475097,82.0,1,24,2
15,25.0,80.0,5716.293459655604,21531.39716430723,3697.520661981966,80.0,1,25,2
16,26.0,81.0,5769.671629069577,19297.19085116248,4010.865787155125,81.0,1,26,2
17,27.0,79.0,2732.0835735023475,14532.212928736695,2054.066446429847,79.0,1,27,2
18,28.0,82.0,5925.743819404979,16127.037326820582,2713.421474886817,82.0,1,28,2
19,29.0,83.0,3426.8134387664313,18158.597823328146,2717.458956642637,83.0,1,29,2
20,30.0,83.0,5460.61419936257,17213.062486538995,3824.004201013196,83.0,1,30,2
21,31.0,85.0,3572.1091837516897,22046.61126056714,2269.5351107486513,85.0,1,31,2
22,32.0,86.0,7651.543001690509,20378.422494492712,2219.7179736111775,86.0,1,32,2
23,33.0,84.0,5411.09268077382,19478.96592414994,2737.168681303552,84.0,1,33,2
24,34.0,86.0,6901.846650176067,24489.484593540958,2572.0361686590945,86.0,1,34,2
25,35.0,90.0,5458.406003395544,27256.668870208483,684.8295911543736,90.0,1,35,2
