,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,11.0,57.0,1620.4991930475744,9162.309066842383,4451.33212202178,57.0,1,11,3
1,13.0,58.0,1283.657738194325,8197.097497026964,5043.986713034175,58.0,1,13,3
2,14.0,63.0,2064.6853601314915,10451.184297719426,3694.5877615087093,63.0,1,14,3
3,15.0,60.0,7423.827557783625,8540.838060716242,5634.851514382682,60.0,1,15,3
4,18.0,59.0,1459.7234579880837,9297.978020309223,5148.291241734037,59.0,1,18,3
5,21.0,61.0,1678.8653618135738,11325.904609921356,4388.398787543996,61.0,1,21,3
6,22.0,60.0,1340.470306190809,8269.674699080328,4844.521645503017,60.0,1,22,3
7,24.0,61.0,2075.2646123789596,8553.240208960196,5244.651863512065,61.0,1,24,3
8,26.0,60.0,1384.23287742774,6197.7409498732695,4401.328163340678,60.0,1,26,3
9,27.0,63.0,1758.7683276652435,9062.343049365349,4349.97396692556,63.0,1,27,3
10,29.0,63.0,1905.204614642616,8553.463678335129,4547.5966811397575,63.0,1,29,3
11,30.0,62.0,1913.9274559977948,10089.20032869415,4174.176334328863,62.0,1,30,3
12,32.0,62.0,1942.6956491062087,10017.053628185895,4675.375648376559,62.0,1,32,3
13,36.0,66.0,1564.4296504829586,9852.2026540892,3171.5580198398093,66.0,1,36,3
14,37.0,65.0,2088.0575266452965,14317.639041356246,4220.27100334123,65.0,1,37,3
15,39.0,66.0,1662.3898274165545,8410.796622525677,3940.0999925204114,66.0,1,39,3
16,40.0,67.0,1528.1268868823875,8798.640817002291,3387.765791529322,67.0,1,40,3
17,41.0,61.0,2118.5629920796073,8189.611171809029,4151.285864753969,61.0,1,41,3
18,42.0,67.0,1736.2609874004993,8478.789464077627,3810.871173487979,67.0,1,42,3
19,43.0,70.0,1556.1855177009345,9601.943429006946,3574.877696391337,70.0,1,43,3
20,46.0,77.0,1273.4201609320085,9517.465241940045,2352.7251864143914,77.0,1,46,3
21,47.0,79.0,1755.8225376818962,14019.50201313321,1957.4383737136702,79.0,1,47,3
22,52.0,78.0,1365.0859393026485,10054.861648174814,2296.517395509145,78.0,1,52,3
23,53.0,75.0,1518.3440308732693,9845.131904091992,2305.1963042276134,75.0,1,53,3
24,55.0,78.0,2326.706100210053,10499.8746034181,3633.96961701271,78.0,1,55,3
25,56.0,74.0,1577.332754705518,10845.175994553649,3150.1649179990927,74.0,1,56,3
26,57.0,75.0,2348.5100937261086,10674.073566828869,2530.9264296617603,75.0,1,57,3
27,62.0,77.0,1196.3285080692829,9142.79649754157,1777.1172002500166,77.0,1,62,3
28,65.0,79.0,1223.3723335501297,9795.632764285652,1775.5560512526595,79.0,1,65,3
29,66.0,83.0,1797.0447789193504,11945.192146479383,1338.523221100857,83.0,1,66,3
30,69.0,86.0,1795.8043123745479,11867.595035599948,1112.0989910701896,86.0,1,69,3
31,71.0,86.0,1577.7015673777541,12353.794351242243,1273.0235387609512,86.0,1,71,3
32,72.0,88.0,2367.743193492735,12255.48080515865,1374.9365729181275,88.0,1,72,3
