,FrameNumber,PeakPosition,PeakIntensity,PeakUpIntensity,PeakDownIntensity,x,y,frame,particle
0,4.0,65.0,2059.676243334426,8691.935726552072,5418.244129324627,65.0,1,4,2
1,5.0,63.0,1970.5846950950395,9586.202793395989,6769.0425724119805,63.0,1,5,2
2,7.0,62.0,2761.7701565996904,8746.684371442325,6747.032277616816,62.0,1,7,2
3,8.0,66.0,2327.9061793735855,9236.17868572774,5309.054859543549,66.0,1,8,2
4,9.0,61.0,2953.3858754039147,7786.443501346134,5123.296121967845,61.0,1,9,2
5,10.0,61.0,2572.6357122843665,7990.723991014582,6649.691431041209,61.0,1,10,2
6,11.0,64.0,2216.152118249826,9526.201690347969,6849.2859515239525,64.0,1,11,2
7,12.0,61.0,3676.801671501761,8532.159749404058,9115.49903292645,61.0,1,12,2
8,13.0,59.0,2788.4039254016716,8986.755168128828,6127.8075005785295,59.0,1,13,2
9,14.0,55.0,2429.2025895155157,9217.352645993216,7316.580686514449,55.0,1,14,2
10,15.0,53.0,3216.3584953779955,9215.547971250458,7630.934881637635,53.0,1,15,2
11,16.0,54.0,3904.162926551238,9916.578707864266,9936.095925816304,54.0,1,16,2
12,19.0,58.0,3602.7813001359004,7533.15263342667,7694.724322852522,58.0,1,19,2
13,21.0,51.0,4102.303907613363,8146.510177648389,6000.561485957542,51.0,1,21,2
14,22.0,47.0,3197.9131238821074,7886.092020609812,7756.39891112308,47.0,1,22,2
15,23.0,52.0,2932.5702643659843,5350.035825758951,8450.513897553146,52.0,1,23,2
16,24.0,50.0,3682.7764206807155,5864.137602738719,9753.884511174894,50.0,1,24,2
17,26.0,45.0,2332.7511404353577,5080.5145394024385,11650.578093884993,45.0,1,26,2
18,27.0,49.0,3057.6393944273104,6011.4571555557795,6694.192782497605,49.0,1,27,2
19,28.0,47.0,4332.148806890526,8173.573221134126,9117.32109796515,47.0,1,28,2
20,29.0,46.0,2404.91061253899,7109.408882351742,7825.939690099846,46.0,1,29,2
21,31.0,43.0,2516.296522404366,4738.988504569364,7366.354958100849,43.0,1,31,2
22,33.0,46.0,3252.953607990492,5972.777239097851,8601.835161878527,46.0,1,33,2
23,34.0,45.0,2261.4283711690114,6680.0739837746605,9670.625922769912,45.0,1,34,2
24,35.0,52.0,3919.3767773925165,5927.47096547036,11214.906607215653,52.0,1,35,2
25,37.0,42.0,3812.6085099165575,6627.262233344218,12198.664499647915,42.0,1,37,2
26,38.0,41.0,3275.010050331751,4958.499210409899,10165.062675222132,41.0,1,38,2
27,39.0,43.0,3165.563767410671,6461.147102665283,7195.475433042408,43.0,1,39,2
28,41.0,41.0,3272.797934457839,6002.27276734649,9683.148832983024,41.0,1,41,2
29,43.0,40.0,3277.9962371743595,5691.687611373538,11786.420957955874,40.0,1,43,2
30,45.0,39.0,3947.124666518706,6781.228100523051,10868.498366353673,39.0,1,45,2
31,47.0,34.0,4004.3758796271723,7007.747740191617,11781.764007809683,34.0,1,47,2
32,48.0,39.0,3335.027104671718,5754.190072042519,9868.024544710539,39.0,1,48,2
33,49.0,38.0,2220.8691136433627,4499.091517942648,9501.827144971308,38.0,1,49,2
34,50.0,38.0,2761.430747629108,5337.963886714494,9266.59046782204,38.0,1,50,2
35,51.0,39.0,4102.84956722045,7929.476870528657,9213.111797228385,39.0,1,51,2
36,52.0,35.0,4005.194368268903,6018.17665944318,12713.86861735301,35.0,1,52,2
37,54.0,33.0,2361.610719503945,4854.862062333157,9729.288224015374,33.0,1,54,2
38,55.0,36.0,3902.280765880195,5123.45619459879,12249.082798323263,36.0,1,55,2
39,56.0,34.0,2919.5735040383456,4033.795932538197,11900.136059292465,34.0,1,56,2
40,57.0,35.0,3579.7245624813468,4818.520801731896,13232.545090889496,35.0,1,57,2
41,58.0,32.0,3195.5800698659914,3312.1106889225703,12013.231340892462,32.0,1,58,2
42,59.0,30.0,3602.5704357779223,3294.0528665937222,9247.22267658205,30.0,1,59,2
43,60.0,27.0,3158.132266780015,3056.7198647897176,13182.462502498993,27.0,1,60,2
44,61.0,25.0,2253.840327996222,2144.8584161708527,11384.784552660309,25.0,1,61,2
45,62.0,24.0,2804.646647148089,2938.3019774585864,13697.55982817295,24.0,1,62,2
46,63.0,31.0,4679.73414835681,5908.218821967392,11778.74515374367,31.0,1,63,2
47,64.0,26.0,2857.2136332144114,2691.95535456688,13486.75981272772,26.0,1,64,2
48,65.0,24.0,4845.611732429756,3634.1306193422856,14745.225017791026,24.0,1,65,2
49,66.0,25.0,3534.64990232023,1969.3227773133729,12556.695971888998,25.0,1,66,2
50,67.0,23.0,3963.663296352224,2926.408164689533,15097.379027583895,23.0,1,67,2
51,68.0,24.0,3389.09402546073,2318.0895602974456,13612.052335353594,24.0,1,68,2
52,69.0,23.0,3754.730098905108,2944.3681438323174,15489.851848980785,23.0,1,69,2
53,71.0,23.0,3662.27560515674,3088.620782153605,14332.712687514526,23.0,1,71,2
54,72.0,23.0,3113.3572094174356,1718.9283525989345,14838.422981665237,23.0,1,72,2
55,73.0,25.0,3047.589993207377,3693.854389550264,12496.66014791408,25.0,1,73,2
56,74.0,22.0,3096.1013225420566,2655.880958152633,13993.600363849197,22.0,1,74,2
57,75.0,24.0,4017.6939748368563,3254.727576337228,15894.806772547174,24.0,1,75,2
58,76.0,23.0,4602.59710075737,3929.0746933603614,12105.756246493293,23.0,1,76,2
59,77.0,23.0,4595.2083289812745,2255.427108079022,12379.338217463941,23.0,1,77,2
60,78.0,23.0,3950.115748485185,4307.807466250839,11349.238511898217,23.0,1,78,2
61,79.0,23.0,6431.48404703932,2655.6819379722415,15635.21759812159,23.0,1,79,2
62,80.0,21.0,3810.9889546733825,2378.9082668275364,14031.223212883453,21.0,1,80,2
63,81.0,21.0,3314.497849487322,2669.0231232293672,15631.915794365828,21.0,1,81,2
64,82.0,22.0,3461.6897986920276,2170.7789234627935,13888.485559740051,22.0,1,82,2
65,83.0,22.0,3050.5203811992596,3340.5502603188334,11371.988665029035,22.0,1,83,2
66,84.0,22.0,2917.614466378391,3682.426139026657,13277.277005767399,22.0,1,84,2
67,86.0,17.0,3323.335972152802,2952.7437302252447,17223.66117244883,17.0,1,86,2
68,87.0,24.0,2645.155686803295,2607.635196741884,14529.085514380113,24.0,1,87,2
69,90.0,23.0,3337.040584732448,3141.4260139428357,12353.615413868154,23.0,1,90,2
70,95.0,23.0,3828.8355406090604,3408.3193220984404,13743.48151258269,23.0,1,95,2
71,96.0,23.0,3309.9931942571866,4317.753422709751,14288.976375256636,23.0,1,96,2
72,97.0,22.0,3760.96910479859,4039.9039993535716,11162.497397976978,22.0,1,97,2
73,98.0,23.0,3726.43814001438,4079.9697277058376,12628.650076463033,23.0,1,98,2
74,99.0,23.0,4012.722587140478,2730.5837022497954,13434.553746562447,23.0,1,99,2
75,100.0,22.0,4119.088580530327,3557.8295760751093,12030.727485541227,22.0,1,100,2
